номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
1;SW_1002;5563;5,563;1383 + 600 + 2160 + 900 + 320 + 200 = 5563 мм;ok;локальная модель, без API
2;P15_1039;21956;21,956;730 + 174 + 1406 + 1900 + 150 + 1788 + 4072 + 599 + 3626 + 5644 + 1350 + 293 + 224 = 21956 мм;ok;"локальная модель, без API; авто: D3 внутри D4"
3;P15_1037;6880;6,880;2364 + 950 + 500 + 1250 + 198 + 224 + 228 + 200 + 168 + 146 + 178 + 210 + 264 = 6880 мм;ok;локальная модель, без API
4;SW_1003;2772;2,772;250 + 214 + 214 + 504 + 378 + 81 + 171 + 81 + 154 + 190 + 380 + 155 = 2772 мм;ok;локальная модель, без API
5;LC_1034;8175;8,175;285 + 651 + 850 + 450 + 2400 + 34 + 3505 = 8175 мм;ok;"локальная модель, без API; авто: D10 габарит поверх D9; авто: D4 внутри D5, D6 внутри D7, D9 внутри D10, D10 вернул полный участок"
6;LC_1042;10426;10,426;285 + 651 + 850 + 238 + 2463 + 2400 + 34 + 3505 = 10426 мм;ok;"локальная модель, без API; авто: D11 габарит поверх D10; авто: D7 внутри D8, D10 внутри D11, D11 вернул полный участок"
7;LC_1040;4306;4,306;60 + 1950 + 34 + 650 + 840 + 522 + 250 = 4306 мм;ok;"локальная модель, без API; авто: D2 внутри D3"
8;SW_1001;48625;48,625;23525 + 1000 + 24100 = 48625 мм;ok;"локальная модель, без API; авто: D4 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул полный участок, D3 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул полный участок, D3 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул полный участок, D3 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул полный участок, D3 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12"
9;SW_1009;860;0,860;195 + 123 + 244 + 123 + 175 = 860 мм;ok;"локальная модель, без API; авто: D2 вернул длину, D3 вернул длину, D4 вернул длину"
10;SW_1012;5460;5,460;154 + 341 + 220 + 188 + 134 + 550 + 2450 + 341 + 244 + 149 + 220 + 135 + 134 + 200 = 5460 мм;ok;локальная модель, без API
;итого;115023;115,023;;;
