номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
1;LC_1029;4702;4,702;285 + 651 + 850 + 2916 = 4702 мм;ok;"локальная модель, без API; авто: D4 внутри D5"
2;LC_1031;4306;4,306;60 + 1950 + 34 + 650 + 840 + 522 + 250 = 4306 мм;ok;"локальная модель, без API; авто: D2 внутри D3"
3;LC_1032;16291;16,291;130 + 1300 + 692 + 1342 + 500 + 554 + 877 + 1900 + 100 + 6200 + 150 + 2546 = 16291 мм;ok;"локальная модель, без API; авто: D12 вернул участок, D13 вернул участок; авто: D12 внутри D13, D1 вернул участок, D5 вернул полный участок; авто: D1 внутри участка, D5 внутри участка, D1 вернул участок, D5 вернул полный участок; авто: D1 внутри участка, D5 внутри участка, D1 вернул участок, D5 вернул полный участок"
4;LC_1032;12050;12,050;11900 + 150 = 12050 мм;ok;"локальная модель, без API; авто: D1 габарит Н.О., D2 вернул участок, D4 вернул участок, D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D2 внутри D4, D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D1 полный размер; авто: D1 габарит Н.О., D3 внутри D4"
5;LC_1032;7273;7,273;1750 + 841 + 554 + 500 + 650 + 1342 + 206 + 1300 + 130 = 7273 мм;ok;"локальная модель, без API; авто: D8 внутри D9"
6;LC_1032;18579;18,579;150 + 2500 + 8300 + 1224 + 778 + 550 + 550 + 4527 = 18579 мм;ok;"локальная модель, без API; авто: D2 внутри D3, D4 внутри D5, D11 внутри D12; авто: D10 внутри D12"
7;LC_1032;18950;18,950;150 + 1300 + 1350 + 10400 + 1300 + 150 + 2262 + 2038 = 18950 мм;ok;"локальная модель, без API; авто: D12 вернул длину; авто: D7 внутри D12, D9 внутри D10, D11 внутри D5; авто: D6 полный участок, D4 внутри D6, D5 внутри D6, D7 вернул участок"
8;LC_1032;20379;20,379;450 + 5777 + 778 + 550 + 550 + 1324 + 8300 + 2500 + 150 = 20379 мм;ok;"локальная модель, без API; авто: D3 вернул участок; авто: D2 внутри D3, D8 внутри D9"
9;LC_1032;21125;21,125;2545 + 150 + 6200 + 80 + 12000 + 150 = 21125 мм;ok;"локальная модель, без API; авто: D6 габарит Н.О., D8 вернул участок, D9 вернул участок, D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D7 внутри D9, D8 внутри D9, D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D6 полный размер; авто: D6 габарит Н.О., D3 внутри D9"
10;LC_1032;6729;6,729;1820 + 877 + 554 + 500 + 1342 + 206 + 1300 + 130 = 6729 мм;ok;"локальная модель, без API; авто: D5 внутри D6, D8 внутри D9"
11;LC_1032;6623;6,623;1750 + 841 + 554 + 500 + 1342 + 206 + 1300 + 130 = 6623 мм;ok;"локальная модель, без API; авто: D5 внутри D6, D8 внутри D9"
12;LC_1034;8175;8,175;285 + 651 + 850 + 450 + 2400 + 34 + 3505 = 8175 мм;ok;"локальная модель, без API; авто: D10 габарит поверх D9; авто: D4 внутри D5, D6 внутри D7, D9 внутри D10, D10 вернул полный участок"
13;LC_1036;4306;4,306;60 + 1950 + 34 + 650 + 840 + 522 + 250 = 4306 мм;ok;"локальная модель, без API; авто: D2 внутри D3"
14;LC_1038;2202;2,202;285 + 651 + 850 + 416 = 2202 мм;ok;локальная модель, без API
15;LC_1040;4306;4,306;60 + 1950 + 34 + 650 + 840 + 522 + 250 = 4306 мм;ok;"локальная модель, без API; авто: D2 внутри D3"
16;LC_1042;10426;10,426;285 + 651 + 850 + 238 + 2463 + 2400 + 34 + 3505 = 10426 мм;ok;"локальная модель, без API; авто: D11 габарит поверх D10; авто: D7 внутри D8, D10 внутри D11, D11 вернул полный участок"
17;LC_1044;4306;4,306;60 + 1950 + 34 + 650 + 840 + 522 + 250 = 4306 мм;ok;"локальная модель, без API; авто: D2 внутри D3"
18;PW1_1009;23121;23,121;152 + 1607 + 305 + 305 + 2007 + 3507 + 305 + 8105 + 305 + 5913 + 305 + 305 = 23121 мм;ok;"локальная модель, без API; авто: D16 вернул участок; авто: D12 вернул участок; авто: D8 внутри D9, D15 внутри D16; авто: D4 внутри D12, D10 внутри D12, D13 внутри D12"
19;PW1_1009;30108;30,108;3623 + 305 + 305 + 3366 + 128 + 103 + 2364 + 1500 + 152 + 1532 + 6143 + 153 + 605 + 600 + 1206 + 305 + 305 + 6498 + 305 + 305 + 305 = 30108 мм;ok;"локальная модель, без API; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D10 внутри D11, D12 внутри D23, D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D13 полный размер; авто: D13 габарит Н.О., D4 внутри D5, D12 вернул участок, D13 полный размер; авто: D13 габарит Н.О., D13 полный размер"
