номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
1;IA_0001;10540;10,540;225 + 400 + 166 + 215 + 550 + 365 + 290 + 350 + 810 + 3402 + 2850 + 217 + 140 + 210 + 350 = 10540 мм;ok;локальная модель, без API
2;IA_0001;11780;11,780;290 + 365 + 1500 + 1350 + 3500 + 850 + 2000 + 1500 + 425 = 11780 мм;ok;локальная модель, без API
3;IA_0001;9827;9,827;350 + 285 + 850 + 217 + 140 + 2450 + 4900 + 285 + 350 = 9827 мм;ok;локальная модель, без API
4;IA_0001;7771;7,771;225 + 1000 + 350 + 217 + 2494 + 217 + 217 + 217 + 2316 + 100 + 217 + 201 = 7771 мм;ok;локальная модель, без API
5;IA_0001;2903;2,903;350 + 185 + 218 + 350 + 225 + 1575 = 2903 мм;ok;локальная модель, без API
6;IA_0001;31875;31,875;225 + 2250 + 1000 + 22250 + 2000 + 4150 = 31875 мм;ok;локальная модель, без API
7;LI_0001;43010;43,010;1000 + 3600 + 1450 + 1050 + 1214 + 1850 + 3000 + 3316 + 890 + 165 + 4064 + 21411 = 43010 мм;ok;локальная модель, без API
8;LI_0001;26960;26,960;225 + 4350 + 2500 + 4350 + 7400 + 1214 + 2200 + 3316 + 890 + 165 + 350 = 26960 мм;ok;локальная модель, без API
9;LI_0001;36755;36,755;16450 + 9150 + 1250 + 3100 + 4750 + 1700 + 225 + 130 = 36755 мм;ok;"локальная модель, без API; авто: D6 габарит Н.О., D6 полный размер"
10;LI_0001;38257;38,257;2275 + 8875 + 751 + 8850 + 1797 + 2900 + 4800 + 2050 + 3566 + 300 + 528 + 165 + 200 + 1200 = 38257 мм;ok;локальная модель, без API
;итого;219678;219,678;;;
